StateCode,Division,YearMonth,    PCP,   TAVG,   PDSI,   PHDI,   ZNDX,   PMDI,    CDD,    HDD,   SP01,   SP02,   SP03,   SP06,   SP09,   SP12,   SP24,   TMIN,   TMAX,
       11,      00,   195601,    .71,   25.8,  -2.51,  -2.51,   -1.8,  -2.51,      0,   1241,  -1.61,  -2.79,   -1.9,   -1.1,     -1,   -.84,   -.91,   16.9,   34.7,
       11,      00,   195602,   2.88,   31.1,  -1.77,  -1.77,   1.45,  -1.09,      0,   1044,   1.12,    -.1,  -1.32,   -.65,   -.85,   -.79,   -.77,   23.1,   39.2,
       11,      00,   195603,   1.17,   39.8,  -2.41,  -2.41,  -2.45,  -2.41,      0,    892,  -1.66,   -.52,   -1.2,  -1.15,  -1.27,  -1.06,   -.96,   28.7,   50.9,
       11,      00,   195604,   3.46,   49.6,  -2.14,  -2.14,    .06,  -2.05,      0,    530,   -.06,  -1.05,   -.46,  -1.68,  -1.29,  -1.17,  -1.03,     37,   62.2,
       11,      00,   195605,   4.08,     64,     -2,     -2,   -.25,  -1.95,     65,    190,    .06,   -.06,   -.75,   -1.4,  -1.02,   -1.1,   -.82,   51.9,     76,
       11,      00,   195606,   2.57,   73.3,  -2.43,  -2.43,  -1.91,  -2.43,    230,     13,  -1.01,   -.61,   -.55,  -1.09,  -1.21,  -1.35,     -1,   61.2,   85.3,
       11,      00,   195607,   4.57,   73.9,  -1.82,  -1.82,    1.1,  -1.28,    220,     10,    .66,   -.25,   -.24,   -.49,  -1.32,   -1.1,   -.77,   63.2,   84.7,
       11,      00,   195608,   4.17,     74,  -1.34,  -1.34,    .88,   -.38,    235,     13,    .61,    .83,    .03,    -.6,  -1.03,   -.86,   -.89,   62.7,   85.3,
       11,      00,   195609,   1.12,   65.6,  -2.01,  -2.01,  -2.44,  -2.01,     62,     96,  -1.97,    -.7,    -.2,   -.66,  -1.14,  -1.25,  -1.06,   51.4,   79.8,
       11,      00,   195610,    .72,   60.2,  -2.93,  -2.93,  -3.36,  -2.93,     30,    228,   -1.8,  -2.59,  -1.47,  -1.12,  -1.24,  -1.91,     -2,   46.1,   74.4,
       11,      00,   195611,   2.34,   40.4,   -3.2,   -3.2,  -1.74,   -3.2,      0,    788,   -.21,  -1.42,   -2.1,  -1.24,  -1.48,  -1.83,  -1.71,   30.1,   50.6,
       11,      00,   195612,   2.42,   34.1,  -3.29,  -3.29,  -1.25,  -3.29,      0,   1052,    .21,   -.07,     -1,   -.87,  -1.03,  -1.48,  -1.54,   26.7,   41.4,
       11,      00,   195701,   2.11,   20.8,  -3.04,  -3.04,   -.27,  -3.04,      0,   1477,    .25,    .13,   -.11,  -1.13,  -1.02,  -1.15,  -1.48,   12.2,   29.5,
       11,      00,   195702,   2.13,   34.8,  -2.56,  -2.56,    .52,  -2.28,      0,    930,     .4,    .31,    .19,  -1.35,  -1.02,  -1.29,  -1.56,   27.1,   42.6,
       11,      00,   195703,   2.21,   39.3,  -2.63,  -2.63,  -1.01,  -2.63,      0,    876,   -.56,   -.32,   -.21,  -1.04,   -.96,  -1.12,  -1.47,   29.6,   48.9,
       11,      00,   195704,   6.99,   52.5,   1.28,  -1.08,   3.85,    .62,      2,    467,   1.92,   1.13,   1.15,    .65,   -.39,   -.48,  -1.09,   42.9,   62.1,
       11,      00,   195705,   6.12,   61.9,   1.92,   1.92,   2.29,   1.92,     46,    228,   1.12,   1.91,   1.42,   1.27,   -.06,   -.07,    -.8,   51.2,   72.6,
       11,      00,   195706,   6.38,   71.8,   2.65,   2.65,   2.79,   2.65,    176,     28,   1.33,   1.54,   2.08,   1.62,    .91,    .62,    -.5,   61.4,   82.1,
       11,      00,   195707,   4.04,   76.6,   2.57,   2.57,    .58,   2.57,    309,      0,    .32,   1.08,    1.4,   1.73,   1.38,    .49,   -.43,   65.8,   87.3,
       11,      00,   195708,   2.78,   73.9,   2.14,   2.14,    -.5,   1.86,    228,     15,   -.51,   -.13,     .7,   1.57,   1.37,    .25,   -.39,   62.3,   85.5,
       11,      00,   195709,   1.52,   64.2,   1.34,   1.34,  -1.74,    .27,     44,    123,  -1.38,  -1.41,   -.87,   1.22,    .97,    .37,   -.55,   52.5,   75.9,
       11,      00,   195710,   3.34,   51.2,   1.51,   1.51,    .93,    .81,      1,    471,    .48,   -.53,   -.75,    .56,   1.05,    .83,   -.79,   39.8,   62.5,
       11,      00,   195711,   3.51,   39.7,   1.71,   1.71,   1.08,   1.39,      0,    801,     .6,    .69,   -.17,    .28,   1.09,   1.05,   -.44,   31.1,   48.3,
       11,      00,   195712,   4.15,   35.4,   2.43,   2.43,   2.69,   2.43,      0,    999,   1.37,   1.18,   1.15,    .17,   1.57,   1.34,   -.01,   26.7,   44.1,
       11,      00,   195801,   1.65,   26.1,   -.03,   2.15,    -.1,   2.04,      0,   1292,   -.14,    .79,    .82,   -.07,    .86,   1.25,    .11,     19,   33.2,
       11,      00,   195802,    .69,     21,   -.52,   1.44,  -1.46,    .64,      0,   1311,  -1.59,  -1.15,     .1,    -.2,     .2,   1.01,   -.18,   11.7,   30.3,
       11,      00,   195803,   1.62,   35.9,   -.95,     .8,  -1.47,   -.64,      0,    936,  -1.13,  -1.94,  -1.78,   -.03,   -.62,    .92,   -.18,   28.6,   43.1,
       11,      00,   195804,   2.83,     52,  -1.19,  -1.19,  -1.02,  -1.19,      1,    453,   -.52,  -1.16,  -1.79,    -.5,    -.9,    .12,   -.25,   40.7,   63.3,
       11,      00,   195805,   2.72,   62.7,  -1.58,  -1.58,  -1.54,  -1.58,     61,    192,   -.83,   -.96,  -1.35,  -1.11,  -1.01,   -.47,   -.35,   49.7,   75.6,
